"","Country","GII_2015","CPI_2015","Population_2015","Country Code","Region"
"1","Denmark",0.041,91,5683483,"DNK","WE/EU"
"2","New Zealand",0.158,91,4595700,"NZL","AP"
"3","Finland",0.056,90,5479531,"FIN","WE/EU"
"4","Sweden",0.048,89,9799186,"SWE","WE/EU"
"5","Norway",0.053,88,5188607,"NOR","WE/EU"
"6","Switzerland",0.04,86,8282396,"CHE","WE/EU"
"7","Luxembourg",0.075,85,569604,"LUX","WE/EU"
"8","Singapore",0.068,85,5535002,"SGP","AP"
"9","Netherlands",0.044,84,16939923,"NLD","WE/EU"
"10","Canada",0.098,83,35848610,"CAN","AME"
"11","Germany",0.066,81,81686611,"DEU","WE/EU"
"12","United Kingdom",0.131,81,65128861,"GBR","WE/EU"
"13","Australia",0.12,79,23789338,"AUS","AP"
"14","Iceland",0.051,79,330815,"ISL","WE/EU"
"15","Belgium",0.073,77,11274196,"BEL","WE/EU"
"16","Austria",0.078,76,8633169,"AUT","WE/EU"
"17","United States",0.203,76,320896618,"USA","AME"
"18","Ireland",0.127,75,4676835,"IRL","WE/EU"
"19","Japan",0.116,75,127141000,"JPN","AP"
"20","Uruguay",0.284,74,3431552,"URY","AME"
"21","Qatar",0.542,71,2481539,"QAT","MENA"
"22","Estonia",0.131,70,1315407,"EST","WE/EU"
"23","France",0.102,70,66624068,"FRA","WE/EU"
"24","Chile",0.322,70,17762681,"CHL","AME"
"25","United Arab Emirates",0.232,70,9154302,"ARE","MENA"
"26","Bhutan",0.477,65,787386,"BTN","AP"
"27","Portugal",0.091,64,10358076,"PRT","WE/EU"
"28","Botswana",0.435,63,2209197,"BWA","SSA"
"29","Poland",0.137,63,37986412,"POL","WE/EU"
"30","Cyprus",0.116,61,1160985,"CYP","WE/EU"
"31","Israel",0.103,61,8380100,"ISR","MENA"
"32","Malta",0.217,60,431874,"MLT","WE/EU"
"33","Slovenia",0.053,60,2063531,"SVN","WE/EU"
"34","Lithuania",0.121,59,2904910,"LTU","WE/EU"
"35","Spain",0.081,58,46447697,"ESP","WE/EU"
"36","Czech Republic",0.129,56,10546059,"CZE","WE/EU"
"37","Latvia",0.191,56,1977527,"LVA","WE/EU"
"38","Costa Rica",0.308,55,4807852,"CRI","AME"
"39","Korea (Republic of)",0.067,54,51014947,"KOR","AP"
"40","Rwanda",0.383,54,11629553,"RWA","SSA"
"41","Jordan",0.478,53,9159302,"JOR","MENA"
"42","Mauritius",0.38,53,1262605,"MUS","SSA"
"43","Namibia",0.474,53,2425561,"NAM","SSA"
"44","Georgia",0.361,52,3717100,"GEO","ECA"
"45","Saudi Arabia",0.257,52,31557144,"SAU","MENA"
"46","Bahrain",0.233,51,1371855,"BHR","MENA"
"47","Croatia",0.141,51,4203604,"HRV","WE/EU"
"48","Hungary",0.252,51,9843028,"HUN","WE/EU"
"49","Slovakia",0.18,51,5423801,"SVK","WE/EU"
"50","Malaysia",0.291,50,30723155,"MYS","AP"
"51","Kuwait",0.335,49,3935794,"KWT","MENA"
"52","Cuba",0.304,47,11461432,"CUB","AME"
"53","Ghana",0.547,47,27582821,"GHA","SSA"
"54","Greece",0.119,46,10820883,"GRC","WE/EU"
"55","Romania",0.339,46,19815481,"ROM","WE/EU"
"56","Oman",0.281,45,4199810,"OMN","MENA"
"57","Italy",0.085,44,60730582,"ITA","WE/EU"
"58","Lesotho",0.549,44,2174645,"LSO","SSA"
"59","Montenegro",0.156,44,622159,"MON","ECA"
"60","Senegal",0.521,44,14976994,"SEN","SSA"
"61","South Africa",0.394,44,55011976.68,"ZAF","SSA"
"62","Sao Tome and Principe",0.524,42,195553,"STP","SSA"
"63","The former Yugoslav Republic of Macedonia",0.16,42,2079308,"MKD","ECA"
"64","Turkey",0.328,42,78271472,"TUR","ECA"
"65","Bulgaria",0.223,41,7177991,"BGR","WE/EU"
"66","Jamaica",0.422,41,2871934,"JAM","AME"
"67","Serbia",0.185,40,7095383,"SCG","ECA"
"68","El Salvador",0.384,39,6312478,"SLV","AME"
"69","Mongolia",0.278,39,2976877,"MNG","AP"
"70","Panama",0.457,39,3969249,"PAN","AME"
"71","Trinidad and Tobago",0.324,39,1360092,"TTO","AME"
"72","Bosnia and Herzegovina",0.158,38,3535961,"BIH","ECA"
"73","Brazil",0.414,38,205962108,"BRA","AME"
"74","Burkina Faso",0.615,38,18110624,"BFA","SSA"
"75","India",0.53,38,1309053980,"IND","AP"
"76","Thailand",0.366,38,68657600,"THA","AP"
"77","Tunisia",0.289,38,11273661,"TUN","MENA"
"78","Zambia",0.526,38,16100587,"ZMB","SSA"
"79","Benin",0.613,37,10575952,"BEN","SSA"
"80","Colombia",0.393,37,48228697,"COL","AME"
"81","China",0.164,37,1371220000,"CHN","AP"
"82","Liberia",0.649,37,4499621,"LBR","SSA"
"83","Sri Lanka",0.386,37,20966000,"LKA","AP"
"84","Albania",0.267,36,2880703,"ALB","ECA"
"85","Algeria",0.429,36,39871528,"DZA","MENA"
"86","Indonesia",0.467,36,258162113,"IDN","AP"
"87","Morocco",0.494,36,34803322,"MAR","MENA"
"88","Peru",0.385,36,31376671,"PER","AME"
"89","Suriname",0.448,36,553208,"SUR","AME"
"90","Armenia",0.293,35,2916950,"ARM","ECA"
"91","Mali",0.689,35,17467905,"MLI","SSA"
"92","Philippines",0.436,35,101716359,"PHL","AP"
"93","Bolivia (Plurinational State of)",0.446,34,10724705,"BOL","AME"
"94","Gabon",0.542,34,1930175,"GAB","SSA"
"95","Niger",0.695,34,19896965,"NER","SSA"
"96","Dominican Republic",0.47,33,10528394,"DOM","AME"
"97","Ethiopia",0.499,33,99873033,"ETH","SSA"
"98","Moldova (Republic of)",0.232,33,3554108,"MDA","ECA"
"99","Belarus",0.144,32,9489616,"BLR","ECA"
"100","Cï¿½te d'Ivoire",0.672,32,23108472,"CIV","SSA"
"101","Ecuador",0.391,32,16144368,"ECU","AME"
"102","Togo",0.556,32,7416802,"TGO","SSA"
"103","Honduras",0.461,31,8960829,"HND","AME"
"104","Malawi",0.614,31,17573607,"MWI","SSA"
"105","Mauritania",0.627,31,4182341,"MRT","SSA"
"106","Mexico",0.345,31,125890949,"MEX","AME"
"107","Mozambique",0.574,31,28010691,"MOZ","SSA"
"108","Viet Nam",0.337,31,91713300,"VNM","AP"
"109","Pakistan",0.546,30,189380513,"PAK","AP"
"110","Tanzania (United Republic of)",0.544,30,53879957,"TZA","SSA"
"111","Azerbaijan",0.326,29,9649341,"AZE","ECA"
"112","Guyana",0.508,29,768514,"GUY","AME"
"113","Russian Federation",0.271,29,144096870,"RUS","ECA"
"114","Sierra Leone",0.65,29,7237025,"SLE","SSA"
"115","Gambia",0.641,28,1977590,"GMB","SSA"
"116","Guatemala",0.494,28,106823,"GTM","AME"
"117","Kazakhstan",0.202,28,17544126,"KAZ","ECA"
"118","Kyrgyzstan",0.394,28,5956900,"KGZ","ECA"
"119","Lebanon",0.381,28,5851479,"LBN","MENA"
"120","Cameroon",0.568,27,22834522,"CMR","SSA"
"121","Iran (Islamic Republic of)",0.509,27,79360487,"IRN","MENA"
"122","Nepal",0.497,27,28656282,"NPL","AP"
"123","Nicaragua",0.462,27,6082035,"NIC","AME"
"124","Paraguay",0.464,27,6639119,"PRY","AME"
"125","Ukraine",0.284,27,45154029,"UKR","ECA"
"126","Tajikistan",0.322,26,8548651,"TJK","ECA"
"127","Bangladesh",0.52,25,161200886,"BGD","AP"
"128","Kenya",0.565,25,47236259,"KEN","SSA"
"129","Lao People's Democratic Republic",0.468,25,6663967,"LAO","AP"
"130","Papua New Guinea",0.595,25,7919825,"PNG","AP"
"131","Uganda",0.522,25,40144870,"UGA","SSA"
"132","Chad",0.695,22,14009413,"TCD","SSA"
"133","Myanmar",0.374,22,52403669,"MMR","AP"
"134","Burundi",0.474,21,10199270,"BDI","SSA"
"135","Cambodia",0.479,21,15517635,"KHM","AP"
"136","Zimbabwe",0.54,21,15777451,"ZWE","SSA"
"137","Uzbekistan",0.287,19,31298900,"UZB","ECA"
"138","Syrian Arab Republic",0.554,18,18734987,"SYR","MENA"
"139","Yemen",0.767,18,26916207,"YEM","MENA"
"140","Haiti",0.593,17,10711061,"HTI","AME"
"141","Venezuela (Bolivarian Republic of)",0.461,17,31155134,"VEN","AME"
"142","Iraq",0.525,16,36115649,"IRQ","MENA"
"143","Libya",0.167,16,6234955,"LBY","MENA"
"144","Sudan",0.575,12,38647803,"SDN","MENA"
"145","Afghanistan",0.667,11,33736494,"AFG","AP"
