Worlddata,Country,,CPI2016,Rank,EconomistIntelligenceUnitCountryRatings,WorldJusticeProjectRuleofLawIndex
Haiti,Venezuela,Venezuela,17,166,19,14
Guinea-Bissau,Cambodia,Cambodia,21,156,19,15
Guyana,Uzbekistan,Uzbekistan,21,156,19,32
Guinea,Zimbabwe,Zimbabwe,22,154,37,24
Guernsey,Uganda,Uganda,25,151,37,21
Grenadines,Nicaragua,Nicaragua,26,145,19,26
Guadeloupe,Bangladesh,Bangladesh,26,145,19,25
Guam,Cameroon,Cameroon,26,145,19,19
Guatemala,Kenya,Kenya,26,145,19,21
Ghana,Guatemala,Guatemala,28,136,19,27
Greece,Myanmar,Myanmar,28,136,19,27
Greenland,Lebanon,Lebanon,28,136,37,30
Grenada,Nigeria,Nigeria,28,136,37,26
Gabon,Kazakhstan,Kazakhstan,29,131,19,32
Gambia,Russia,Russia,29,131,19,32
Georgia,Ukraine,Ukraine,29,131,19,32
Germany,Iran,Iran,29,131,19,35
France,Honduras,Honduras,30,123,19,27
French Guiana,Mexico,Mexico,30,123,37,26
French Polynesia,Moldova,Moldova,30,123,37,26
French Southern and Antarctic Lands,Sierra Leone,Sierra Leone,30,123,19,23
Faroe Islands,Dominican Republic,Dominican Republic,31,120,37,27
Fiji,Ecuador,Ecuador,31,120,37,32
Finland,Malawi,Malawi,31,120,19,32
Ethiopia,Pakistan,Pakistan,32,116,37,32
Falkland Islands,Tanzania,Tanzania,32,116,37,27
Eritrea,Bolivia,Bolivia,33,113,37,25
Estonia,Vietnam,Vietnam,33,113,19,40
Egypt,Egypt,Egypt,34,108,37,37
El Salvador,Ivory Coast,Ivory Coast,34,108,37,30
Equatorial Guinea,Ethiopia,Ethiopia,34,108,37,33
Djibouti,Peru,Peru,35,101,37,30
Dominica,Trinidad,Trinidad,35,101,37,43
Dominican Republic,Philippines,Philippines,35,101,37,31
Ecuador,Thailand,Thailand,35,101,37,37
Czech Republic,Argentina,Argentina,36,95,37,46
Democratic Republic of the Congo,El Salvador,El Salvador,36,95,37,34
Denmark,Sri Lanka,Sri Lanka,36,95,37,38
Croatia,Colombia,Colombia,37,90,37,37
Cuba,Indonesia,Indonesia,37,90,37,26
Curacao,Macedonia,Macedonia,37,90,19,42
Cyprus,Morocco,Morocco,37,90,37,37
Comoros,Panama,Panama,38,87,37,33
Cook Islands,Mongolia,Mongolia,38,87,37,38
Costa Rica,Zambia,Zambia,38,87,37,39
Christmas Island,Jamaica,Jamaica,39,83,37,47
Cocos Islands,Albania,Albania,39,83,37,30
Colombia,Bosnia and Herzegovina,Bosnia and Herzegovina,39,83,37,37
Chad,Brazil,Brazil,40,79,37,37
Chagos Archipelago,China,China,40,79,37,37
Chile,India,India,40,79,37,34
China,Belarus,Belarus,40,79,37,56
Cape Verde,Turkey,Turkey,41,75,37,39
Cayman Islands,Tunisia,Tunisia,41,75,37,37
Central African Republic,Bulgaria,Bulgaria,41,75,37,38
Canary Islands,Serbia,Serbia,42,72,37,32
Canada,Ghana,Ghana,43,70,54,35
Cameroon,Greece,Greece,44,69,37,53
Burundi,Senegal,Senegal,45,64,54,43
Cambodia,South Africa,South Africa,45,64,54,47
Burkina Faso,Italy,Italy,47,60,37,57
Brazil,Jordan,Jordan,48,57,54,50
Brunei,Hungary,Hungary,48,57,54,49
Bulgaria,Romania,Romania,48,57,37,49
Bosnia and Herzegovina,Malaysia,Malaysia,49,55,54,41
Botswana,Croatia,Croatia,49,55,54,50
Bonaire,South Korea,South Korea,53,52,54,69
Bolivia,Czech Republic,Czech Republic,55,47,54,62
Bermuda,Costa Rica,Costa Rica,58,41,54,61
Bhutan,Spain,Spain,58,41,72,65
Benin,Botswana,Botswana,60,35,72,55
Belize,Slovenia,Slovenia,61,31,54,59
Belarus,Poland,Poland,62,29,54,66
Belgium,Portugal,Portugal,62,29,54,68
Barbados,Chile,Chile,66,24,72,65
Barbuda,United Arab Emirates,United Arab Emirates,66,24,54,73
Bangladesh,France,France,69,23,72,69
Bahrain,Estonia,Estonia,70,22,54,70
Bahamas,Uruguay,Uruguay,71,21,72,72
Azores,Japan,Japan,72,20,72,75
Azerbaijan,USA,USA,74,18,90,72
Austria,Austria,Austria,75,17,72,79
Ascension Island,Hong Kong,#N/A,77,15,72,77
Australia,Belgium,Belgium,77,15,72,74
Aruba,Australia,Australia,79,13,72,78
Argentina,Germany,Germany,81,10,90,79
Armenia,UK,UK,81,10,90,80
Antigua,Canada,Canada,82,9,90,79
Anguilla,Netherlands,Netherlands,83,8,90,82
Angola,Singapore,Singapore,84,7,90,85
Andorra,Norway,Norway,85,6,90,84
American Samoa,Sweden,Sweden,88,4,90,85
Algeria,Finland,Finland,89,3,90,85
Afghanistan,New Zealand,New Zealand,90,1,90,79
Albania,Denmark,Denmark,90,1,90,85
Heard Island,,#N/A,,,,
Honduras,,#N/A,,,,
Hungary,,#N/A,,,,
Iceland,,#N/A,,,,
India,,#N/A,,,,
Indonesia,,#N/A,,,,
Iran,,#N/A,,,,
Iraq,,#N/A,,,,
Ireland,,#N/A,,,,
Isle of Man,,#N/A,,,,
Israel,,#N/A,,,,
Italy,,#N/A,,,,
Ivory Coast,,#N/A,,,,
Jamaica,,#N/A,,,,
Japan,,#N/A,,,,
Jersey,,#N/A,,,,
Jordan,,#N/A,,,,
Kazakhstan,,#N/A,,,,
Kenya,,#N/A,,,,
Kiribati,,#N/A,,,,
Kosovo,,#N/A,,,,
Kuwait,,#N/A,,,,
Kyrgyzstan,,#N/A,,,,
Laos,,#N/A,,,,
Latvia,,#N/A,,,,
Lebanon,,#N/A,,,,
Lesotho,,#N/A,,,,
Liberia,,#N/A,,,,
Libya,,#N/A,,,,
Liechtenstein,,#N/A,,,,
Lithuania,,#N/A,,,,
Luxembourg,,#N/A,,,,
Macedonia,,#N/A,,,,
Madagascar,,#N/A,,,,
Madeira Islands,,#N/A,,,,
Malawi,,#N/A,,,,
Malaysia,,#N/A,,,,
Maldives,,#N/A,,,,
Mali,,#N/A,,,,
Malta,,#N/A,,,,
Marshall Islands,,#N/A,,,,
Martinique,,#N/A,,,,
Mauritania,,#N/A,,,,
Mauritius,,#N/A,,,,
Mayotte,,#N/A,,,,
Mexico,,#N/A,,,,
Micronesia,,#N/A,,,,
Moldova,,#N/A,,,,
Monaco,,#N/A,,,,
Mongolia,,#N/A,,,,
Montenegro,,#N/A,,,,
Montserrat,,#N/A,,,,
Morocco,,#N/A,,,,
Mozambique,,#N/A,,,,
Myanmar,,#N/A,,,,
Namibia,,#N/A,,,,
Nauru,,#N/A,,,,
Nepal,,#N/A,,,,
Netherlands,,#N/A,,,,
Nevis,,#N/A,,,,
New Caledonia,,#N/A,,,,
New Zealand,,#N/A,,,,
Nicaragua,,#N/A,,,,
Niger,,#N/A,,,,
Nigeria,,#N/A,,,,
Niue,,#N/A,,,,
Norfolk Island,,#N/A,,,,
North Korea,,#N/A,,,,
Northern Mariana Islands,,#N/A,,,,
Norway,,#N/A,,,,
Oman,,#N/A,,,,
Pakistan,,#N/A,,,,
Palau,,#N/A,,,,
Palestine,,#N/A,,,,
Panama,,#N/A,,,,
Papua New Guinea,,#N/A,,,,
Paraguay,,#N/A,,,,
Peru,,#N/A,,,,
Philippines,,#N/A,,,,
Pitcairn Islands,,#N/A,,,,
Poland,,#N/A,,,,
Portugal,,#N/A,,,,
Puerto Rico,,#N/A,,,,
Qatar,,#N/A,,,,
Republic of Congo,,#N/A,,,,
Reunion,,#N/A,,,,
Romania,,#N/A,,,,
Russia,,#N/A,,,,
Rwanda,,#N/A,,,,
Saba,,#N/A,,,,
Saint Barthelemy,,#N/A,,,,
Saint Helena,,#N/A,,,,
Saint Kitts,,#N/A,,,,
Saint Lucia,,#N/A,,,,
Saint Martin,,#N/A,,,,
Saint Pierre and Miquelon,,#N/A,,,,
Saint Vincent,,#N/A,,,,
Samoa,,#N/A,,,,
San Marino,,#N/A,,,,
Sao Tome and Principe,,#N/A,,,,
Saudi Arabia,,#N/A,,,,
Senegal,,#N/A,,,,
Serbia,,#N/A,,,,
Seychelles,,#N/A,,,,
Siachen Glacier,,#N/A,,,,
Sierra Leone,,#N/A,,,,
Singapore,,#N/A,,,,
Sint Eustatius,,#N/A,,,,
Sint Maarten,,#N/A,,,,
Slovakia,,#N/A,,,,
Slovenia,,#N/A,,,,
Solomon Islands,,#N/A,,,,
Somalia,,#N/A,,,,
South Africa,,#N/A,,,,
South Georgia,,#N/A,,,,
South Korea,,#N/A,,,,
South Sandwich Islands,,#N/A,,,,
South Sudan,,#N/A,,,,
Spain,,#N/A,,,,
Sri Lanka,,#N/A,,,,
Sudan,,#N/A,,,,
Suriname,,#N/A,,,,
Swaziland,,#N/A,,,,
Sweden,,#N/A,,,,
Switzerland,,#N/A,,,,
Syria,,#N/A,,,,
Taiwan,,#N/A,,,,
Tajikistan,,#N/A,,,,
Tanzania,,#N/A,,,,
Thailand,,#N/A,,,,
Timor-Leste,,#N/A,,,,
Tobago,,#N/A,,,,
Togo,,#N/A,,,,
Tonga,,#N/A,,,,
Trinidad,,#N/A,,,,
Tunisia,,#N/A,,,,
Turkey,,#N/A,,,,
Turkmenistan,,#N/A,,,,
Turks and Caicos Islands,,#N/A,,,,
Uganda,,#N/A,,,,
UK,,#N/A,,,,
Ukraine,,#N/A,,,,
United Arab Emirates,,#N/A,,,,
Uruguay,,#N/A,,,,
USA,,#N/A,,,,
Uzbekistan,,#N/A,,,,
Vanuatu,,#N/A,,,,
Vatican,,#N/A,,,,
Venezuela,,#N/A,,,,
Vietnam,,#N/A,,,,
Virgin Islands,,#N/A,,,,
Wallis and Futuna,,#N/A,,,,
Western Sahara,,#N/A,,,,
Yemen,,#N/A,,,,
Zambia,,#N/A,,,,
Zimbabwe,,#N/A,,,,
